month,c_resid,indic_to,geo_layer,Year,Value
M01,FOR,NGT_SP,NUT1,2022,10113893.0
M01,FOR,NGT_SP,NUT1,2023,17511640.0
M01,FOR,NGT_SP,NUT2,2018,10913019.0
M01,FOR,NGT_SP,NUT2,2019,12810251.0
M01,FOR,NGT_SP,NUT2,2020,14986828.0
M01,FOR,NGT_SP,NUT2,2021,2396014.0
M01,FOR,NGT_SP,NUT2,2022,10113893.0
M01,FOR,NGT_SP,NUT2,2023,17511640.0
M01,FOR,NGT_SP,[EU27_2020],2018,10470696.0
M01,FOR,NGT_SP,[EU27_2020],2019,12320118.0
M01,FOR,NGT_SP,[EU27_2020],2020,14420183.0
M01,FOR,NGT_SP,[EU27_2020],2021,2216424.0
M01,FOR,NGT_SP,[EU27_2020],2022,9676120.0
M01,FOR,NGT_SP,[EU27_2020],2023,16891757.0
M01,FOR,STY,Country,2018,1024216.0
M01,FOR,STY,Country,2019,1224887.0
M01,FOR,STY,Country,2020,1310642.0
M01,FOR,STY,Country,2021,151037.0
M01,FOR,STY,Country,2022,720777.0
M01,FOR,STY,Country,2023,1318349.0
M01,FOR,STY,NUT1,2018,1024216.0
M01,FOR,STY,NUT1,2019,1224887.0
M01,FOR,STY,NUT1,2020,1310642.0
M01,FOR,STY,NUT1,2021,151037.0
M01,FOR,STY,NUT1,2022,720777.0
M01,FOR,STY,NUT1,2023,1318349.0
M01,FOR,STY,NUT2,2018,1024216.0
M01,FOR,STY,NUT2,2019,1224887.0
M01,FOR,STY,NUT2,2020,1310642.0
M01,FOR,STY,NUT2,2021,151037.0
M01,FOR,STY,NUT2,2022,720777.0
M01,FOR,STY,NUT2,2023,1318349.0
M01,FOR,STY,[EU27_2020],2018,970110.0
M01,FOR,STY,[EU27_2020],2019,1165492.0
M01,FOR,STY,[EU27_2020],2020,1248874.0
M01,FOR,STY,[EU27_2020],2021,138998.0
M01,FOR,STY,[EU27_2020],2022,687252.0
M01,FOR,STY,[EU27_2020],2023,1260479.0
M02,DOM,LSTY,Country,2018,2486699.0
M02,DOM,LSTY,Country,2019,3068820.0
M02,DOM,LSTY,Country,2020,4243677.0
M02,DOM,LSTY,Country,2021,3269378.0
M02,DOM,LSTY,Country,2022,5045730.0
M02,DOM,LSTY,Country,2023,5705829.0
M02,DOM,LSTY,NUT1,2018,2486699.0
M02,DOM,LSTY,NUT1,2019,3068820.0
M02,DOM,LSTY,NUT1,2020,4243677.0
M02,DOM,LSTY,NUT1,2021,3269378.0
M02,DOM,LSTY,NUT1,2022,5045730.0
M02,DOM,LSTY,NUT1,2023,5705829.0
M02,DOM,LSTY,NUT2,2018,2486699.0
M02,DOM,LSTY,NUT2,2019,3068820.0
M02,DOM,LSTY,NUT2,2020,4243677.0
M02,DOM,LSTY,NUT2,2021,3269378.0
M02,DOM,LSTY,NUT2,2022,5045730.0
M02,DOM,LSTY,NUT2,2023,5705829.0
M02,DOM,LSTY,[EU27_2020],2018,2398883.0
M02,DOM,LSTY,[EU27_2020],2019,2967296.0
M02,DOM,LSTY,[EU27_2020],2020,4112378.0
M02,DOM,LSTY,[EU27_2020],2021,3090396.0
M02,DOM,LSTY,[EU27_2020],2022,4866237.0
M02,DOM,LSTY,[EU27_2020],2023,5529961.0
M02,DOM,NGT_SP,Country,2018,6913358.0
M02,DOM,NGT_SP,Country,2019,8549994.0
M02,DOM,NGT_SP,Country,2020,11741875.0
M02,DOM,NGT_SP,Country,2021,8650633.0
M02,DOM,NGT_SP,Country,2022,13951935.0
M02,DOM,NGT_SP,Country,2023,15932453.0
M02,DOM,NGT_SP,NUT1,2018,6913358.0
M02,DOM,NGT_SP,NUT1,2019,8549994.0
M02,DOM,NGT_SP,NUT1,2020,11741875.0
M02,DOM,NGT_SP,NUT1,2021,8650633.0
M02,DOM,NGT_SP,NUT1,2022,13951935.0
M02,DOM,NGT_SP,NUT1,2023,15932453.0
M02,DOM,NGT_SP,NUT2,2018,6913358.0
M02,DOM,NGT_SP,NUT2,2019,8549994.0
M02,DOM,NGT_SP,NUT2,2020,11741875.0
M02,DOM,NGT_SP,NUT2,2021,8650633.0
M02,DOM,NGT_SP,NUT2,2022,13951935.0
M02,DOM,NGT_SP,NUT2,2023,15932453.0
M02,DOM,NGT_SP,[EU27_2020],2018,6629552.0
M02,DOM,NGT_SP,[EU27_2020],2019,8225167.0
M02,DOM,NGT_SP,[EU27_2020],2020,11323808.0
M02,DOM,NGT_SP,[EU27_2020],2021,8092954.0
M02,DOM,NGT_SP,[EU27_2020],2022,13383191.0
M02,DOM,NGT_SP,[EU27_2020],2023,15365219.0
M02,DOM,STY,Country,2018,806471.0
M02,DOM,STY,Country,2019,1019074.0
M02,DOM,STY,Country,2020,1392217.0
M02,DOM,STY,Country,2021,993303.0
M02,DOM,STY,Country,2022,1495289.0
M02,DOM,STY,Country,2023,1800610.0
M02,DOM,STY,NUT1,2018,806471.0
M02,DOM,STY,NUT1,2019,1019074.0
M02,DOM,STY,NUT1,2020,1392217.0
M02,DOM,STY,NUT1,2021,993303.0
M02,DOM,STY,NUT1,2022,1495289.0
M02,DOM,STY,NUT1,2023,1800610.0
M02,DOM,STY,NUT2,2018,806471.0
M02,DOM,STY,NUT2,2019,1019074.0
M02,DOM,STY,NUT2,2020,1392217.0
M02,DOM,STY,NUT2,2021,993303.0
M02,DOM,STY,NUT2,2022,1495289.0
M02,DOM,STY,NUT2,2023,1800610.0
M02,DOM,STY,[EU27_2020],2018,785735.0
M02,DOM,STY,[EU27_2020],2019,993703.0
M02,DOM,STY,[EU27_2020],2020,1360667.0
M02,DOM,STY,[EU27_2020],2021,953437.0
M02,DOM,STY,[EU27_2020],2022,1455992.0
M02,DOM,STY,[EU27_2020],2023,1760242.0
M02,FOR,LSTY,Country,2018,4427828.0
M02,FOR,LSTY,Country,2019,5152978.0
M02,FOR,LSTY,Country,2020,6257873.0
M02,FOR,LSTY,Country,2021,1106120.0
M02,FOR,LSTY,Country,2022,5079774.0
M02,FOR,LSTY,Country,2023,7266122.0
M02,FOR,LSTY,NUT1,2018,4427828.0
M02,FOR,LSTY,NUT1,2019,5152978.0
M02,FOR,LSTY,NUT1,2020,6257873.0
M02,FOR,LSTY,NUT1,2021,1106120.0
M02,FOR,LSTY,NUT1,2022,5079774.0
M02,FOR,LSTY,NUT1,2023,7266122.0
M02,FOR,LSTY,NUT2,2018,4427828.0
M02,FOR,LSTY,NUT2,2019,5152978.0
M02,FOR,LSTY,NUT2,2020,6257873.0
M02,FOR,LSTY,NUT2,2021,1106120.0
M02,FOR,LSTY,NUT2,2022,5079774.0
M02,FOR,LSTY,NUT2,2023,7266122.0
M02,FOR,LSTY,[EU27_2020],2018,4223732.0
M02,FOR,LSTY,[EU27_2020],2019,4931730.0
M02,FOR,LSTY,[EU27_2020],2020,5991567.0
M02,FOR,LSTY,[EU27_2020],2021,1029635.0
M02,FOR,LSTY,[EU27_2020],2022,4875899.0
M02,FOR,LSTY,[EU27_2020],2023,6984474.0
M02,FOR,NGT_SP,Country,2018,12558150.0
M02,FOR,NGT_SP,Country,2019,14429494.0
M02,FOR,NGT_SP,Country,2020,17319490.0
M02,FOR,NGT_SP,Country,2021,2251364.0
M02,FOR,NGT_SP,Country,2022,13358630.0
M02,FOR,NGT_SP,Country,2023,20057733.0
M02,FOR,NGT_SP,NUT1,2018,12558150.0
M02,FOR,NGT_SP,NUT1,2019,14429494.0
M02,FOR,NGT_SP,NUT1,2020,17319490.0
M02,FOR,NGT_SP,NUT1,2021,2251364.0
M02,FOR,NGT_SP,NUT1,2022,13358630.0
